Words, Inverted Index 
grey roam, 11 
roam dumb, 11 
dumb because, 11 
because know, 11 
know dumb, 11 
know question, 11 
question fade, 11 
fade flower, 11 
flower gay, 11 
gay could, 11 
could take, 11 
take beside, 11 
beside age, 11 
age day, 11 
day measure, 11 
measure worth, 11 
worth treasury, 11 
treasury measure, 11 
measure little, 11 
little long, 11 
long away, 11 
satyr meadow, 12 
meadow sun, 12 
sun shape, 12 
shape jewel, 12 
jewel small, 12 
small circle, 12 
circle scar, 12 
scar wider, 12 
wider tree, 12 
tree around, 12 
around tall, 12 
tall wind, 12 
wind quit, 12 
quit exclude, 12 
exclude air, 12 
air wa, 12 
wa still, 24, 12 
still sweet, 12 
sweet breath, 12 
breath man, 12 
man flower, 12 
flower temple, 12 
temple heat, 12 
heat bow, 12 
bow us, 12 
us burn, 12 
burn sun, 12 
sun right, 12 
right worship, 12 
worship pick, 12 
pick none, 12 
none could, 12 
could miss, 12 
miss thousand, 12 
thousand oris, 12 
oris though, 12 
though grass, 12 
grass wa, 12 
wa scatter, 12 
scatter yet, 12 
yet every, 12 
every second, 12 
second spear, 12 
spear seem, 12 
seem tip, 12 
tip wing, 12 
wing color, 12 
color atmosphere, 12 
atmosphere rays, 12 
rays simple, 12 
simple prayer, 12 
prayer before, 12 
before leave, 12 
leave spot, 12 
spot genet, 12 
genet now, 12 
now place, 12 
place may, 12 
may forget, 12 
forget favour, 12 
favour obtain, 12 
obtain grace, 12 
grace hour, 12 
hour none, 12 
none now, 12 
now grass, 12 
grass confuse, 12 
confuse flower, 12 
house lack, 13 
lack seemingly, 13 
seemingly mistress, 13 
mistress master, 13 
master door, 13 
door none, 13 
none wind, 13 
wind ever, 13 
ever close, 13 
close floor, 13 
floor litter, 13 
litter glass, 13 
glass plaster, 13 
plaster stand, 13 
stand garden, 13 
garden old, 13 
old fashion, 13 
fashion rise, 13 
rise pass, 13 
pass way, 13 
way gloom, 13 
gloom mary, 13 
mary wonder, 13 
wonder say, 13 
say owner, 13 
owner oh, 13 
oh one, 13 
one know, 13 
know answer, 13 
answer air, 13 
air one, 13 
one must, 13 
must ask, 13 
ask want, 13 
want and, 13 
and rise, 13 
rise must, 13 
must join, 13 
join hand, 13 
hand dew, 13 
dew come, 13 
come coldly, 13 
coldly hush, 13 
hush wood, 13 
wood repose, 13 
repose turn, 13 
turn go, 13 
go open, 13 
open door, 13 
door boldly, 13 
boldly knock, 13 
knock echo, 13 
echo beggar, 13 
beggar rose, 13 
rose pray, 13 
pray within, 13 
within mistress, 13 
mistress ti, 13 
ti mary, 13 
mary speak, 13 
speak errand, 13 
errand disclose, 13 
disclose pray, 13 
within best, 13 
best best, 13 
best ti, 13 
ti summer, 13 
summer two, 13 
two come, 13 
come rise, 13 
rise word, 13 
word singer, 13 
singer real, 13 
real old, 13 
old heroic, 13 
heroic say, 13 
say every, 13 
every maid, 13 
maid know, 13 
know flower, 13 
flower unlucky, 13 
unlucky leave, 13 
leave fall, 13 
fall not, 13 
not gain, 13 
gain gather, 13 
gather rise, 13 
rise loose, 13 
loose hand, 13 
hand entertain, 13 
entertain care, 13 
care very, 13 
very much, 13 
much support, 13 
support come, 13 
come us, 13 
us missile, 13 
missile shine, 13 
shine grant, 13 
grant us, 13 
us silent, 13 
silent boon, 13 
boon rise, 13 
thing dream, 14 
dream specter, 14 
specter like, 14 
like move, 14 
move among, 14 
among tall, 14 
tall babcock, 14 
babcock lightly, 14 
lightly pile, 14 
pile enter, 14 
enter along, 14 
along upon, 14 
upon stubble, 14 
stubble field, 14 
field labor, 14 
labor voice, 14 
voice late, 14 
late die, 14 
die antiphoni, 14 
antiphoni afterglow, 14 
afterglow rise, 14 
rise full, 14 
full moon, 14 
moon sit, 14 
sit upon, 14 
upon full, 14 
moon side, 14 
side first, 14 
first babcock, 14 
babcock lose, 14 
lose amid, 14 
amid man, 14 
man alike, 14 
alike dream, 14 
dream upon, 14 
upon oppose, 14 
oppose light, 14 
light hour, 14 
hour prevent, 14 
prevent shadow, 14 
shadow moon, 14 
moon prevail, 14 
prevail dream, 14 
upon night, 14 
night hawk, 14 
hawk people, 14 
people heaven, 14 
heaven circle, 14 
circle vague, 14 
vague unearthed, 14 
unearthed cry, 14 
cry flung, 14 
flung headlong, 14 
headlong fierce, 14 
fierce than, 14 
than afar, 14 
afar bat, 14 
bat mute, 14 
mute anti, 14 
anti would, 14 
would seem, 19, 14 
seem dimly, 14 
dimly make, 14 
make secret, 14 
secret place, 14 
place only, 14 
only lose, 14 
lose pirouett, 14 
pirouett seek, 14 
seek endless, 14 
endless purblind, 14 
purblind hast, 14 
hast last, 14 
last swallow, 14 
swallow sweep, 14 
sweep grasp, 14 
grasp abyss, 14 
abyss odor, 14 
odor rustle, 14 
rustle back, 14 
back silent, 14 
silent advent, 14 
advent find, 14 
find on, 14 
on inter, 14 
inter hi, 14 
hi instrument, 14 
instrument try, 14 
try on, 14 
on twice, 14 
twice thrice, 14 
thrice worn, 14 
worn book, 14 
book old, 14 
old golden, 14 
golden song, 14 
song bring, 14 
bring read, 14 
read seem, 14 
seem hold, 14 
hold fresh, 14 
fresh the, 14 
the air, 14 
air either, 14 
either sweet, 14 
sweet memory, 14 
memory one, 14 
one absent, 14 
absent line, 14 
line shall, 14 
shall greet, 14 
greet eye, 14 
wa young, 15 
young dwelt, 15 
dwelt vale, 15 
vale mist, 15 
mist men, 15 
men ring, 15 
ring night, 15 
night the, 15 
the wa, 16, 15 
wa maiden, 15 
maiden pale, 15 
pale know, 15 
know well, 19, 15 
well whose, 15 
whose garment, 15 
garment trail, 15 
trail across, 15 
across reed, 15 
reed window, 15 
light men, 15 
men every, 15 
every kind, 15 
kind bloom, 15 
bloom every, 15 
kind wa, 15 
wa face, 15 
face voice, 15 
voice ha, 15 
ha sound, 33, 15 
sound room, 15 
room across, 15 
across sill, 15 
sill outer, 15 
outer gloom, 15 
gloom come, 15 
come single, 15 
single unto, 15 
unto place, 15 
place come, 15 
come every, 15 
every night, 15 
night mist, 15 
mist often, 15 
often bring, 15 
bring much, 15 
much say, 15 
say thing, 15 
thing moment, 15 
moment west, 15 
west one, 15 
one lone, 15 
lone wa, 15 
wa fain, 15 
list star, 15 
star almost, 15 
almost fade, 15 
fade away, 15 
away before, 15 
before last, 15 
last go, 15 
go heavy, 15 
dew back, 15 
back place, 15 
come bird, 15 
bird wa, 15 
wa before, 15 
before fly, 15 
fly flower, 15 
flower wa, 15 
before grow, 15 
grow bird, 15 
bird flower, 15 
flower one, 15 
one the, 15 
the know, 15 
well who, 15 
who flower, 15 
flower ha, 15 
ha odor, 15 
odor bird, 15 
bird ha, 15 
ha song, 15 
song only, 15 
only ask, 15 
ask tell, 15 
tell vainly, 15 
vainly dwell, 15 
dwell vainly, 15 
vainly listen, 15 
listen night, 15 
night long, 15 
withdraw forest, 16 
forest song, 16 
song wa, 16 
wa swallow, 16 
swallow leave, 16 
leave blow, 16 
blow away, 16, 34 
away forest, 16 
forest edge, 16 
edge come, 16 
come one, 16 
one day, 16, 25 
day the, 16 
wa dream, 16, 19 
dream look, 16 
look ponder, 16 
ponder long, 16 
long enter, 16 
enter though, 16 
though wish, 16 
wish wa, 16 
wa strong, 16 
strong shake, 16 
shake pensive, 16 
pensive head, 16 
head say, 16 
say dare, 16 
dare far, 16 
far hi, 16 
hi footstep, 16 
footstep stray, 16 
stray must, 16 
must seek, 16 
seek would, 16 
would undo, 16 
undo wrong, 16 
wrong far, 16 
far near, 16 
near stand, 16 
stand see, 16 
see behind, 16 
behind low, 16 
low bough, 16, 32 
bough tree, 16 
tree let, 16 
let outside, 16 
outside sweet, 16 
sweet pang, 16 
pang cost, 16 
cost call, 16 
call tell, 16 
tell see, 16 
see doe, 16 
doe still, 16 
still aid, 16 
aid ti, 16 
ti true, 16 
true the, 16 
the dwelt, 16 
dwelt aloof, 16 
aloof wood, 16 
wood wake, 16 
wake proof, 16 
leave us, 17 
us way, 17, 29 
way take, 17 
take two, 17 
two prove, 17 
prove mistaken, 17 
mistaken sit, 17 
sit sometime, 17 
sometime wayside, 17 
wayside nook, 17 
nook mischief, 17 
mischief vagrant, 17 
vagrant search, 17 
search look, 17 
look try, 17 
try feel, 17 
feel forsaken, 17 
tire tree, 18 
tree seek, 18 
seek mankind, 18 
mankind well, 18 
well know, 18, 26 
know he, 18 
he dawn, 18 
dawn slope, 18 
slope cattle, 18 
cattle keep, 18 
keep lawn, 18 
lawn amid, 18 
amid toll, 18 
toll julie, 18 
julie remain, 18 
remain unseen, 18 
unseen see, 18 
see white, 18 
white define, 18 
define far, 18 
far home, 18 
home man, 18 
man farther, 18 
farther still, 18 
still grave, 18 
grave man, 18 
man oppose, 18 
oppose hill, 18 
hill live, 18 
live dead, 49, 18 
dead which, 18 
which mind, 18 
mind moon, 18 
moon much, 18 
much turn, 18 
turn arm, 18 
arm lo, 18 
lo sun, 18 
sun burn, 25, 18 
burn hillside, 18 
hillside set, 18 
set face, 18 
face aglow, 18 
aglow breath, 18 
breath shake, 18 
shake blue, 18 
blue like, 18 
like breeze, 18 
breeze smell, 18 
smell earth, 18 
earth smell, 18 
smell bruised, 18 
bruised plant, 18 
plant look, 18 
look crater, 18 
crater ant, 18 
wa never, 19 
never sound, 19 
sound beside, 19 
beside wood, 19 
wood one, 25, 19 
one wa, 19 
wa long, 19 
long scythe, 19 
scythe whisper, 19 
whisper ground, 19 
ground wa, 19 
wa whisper, 19 
whisper know, 19 
well perhaps, 19 
perhaps wa, 19 
wa cometh, 26, 19 
cometh heat, 19 
heat sun, 19 
sun cometh, 19 
cometh perhaps, 19 
perhaps lack, 19 
lack sound, 19 
sound wa, 26, 19 
wa who, 19 
who whisper, 19 
whisper speak, 19 
speak wa, 19 
dream gift, 19 
gift ill, 19 
ill hour, 19 
hour east, 19 
east gold, 19 
gold hand, 19 
hand may, 19 
may self, 19 
self any, 19 
any truth, 19 
truth would, 19 
seem weak, 19 
weak earnest, 19 
earnest love, 19 
love lay, 19 
lay scale, 19 
scale row, 19 
row without, 19 
without feel, 19 
feel point, 19 
point spike, 19 
spike flower, 19 
flower pale, 19 
pale oris, 19 
oris scare, 19 
scare bright, 19 
bright green, 19 
green snake, 19 
snake fact, 19 
fact sweet, 19 
sweet dream, 19 
dream labor, 19 
labor know, 19 
know long, 19 
whisper leave, 19 
leave hay, 19 
hay make, 19 
well wa, 20 
wa dry, 20 
dry beside, 20 
beside door, 20 
door go, 20 
go pail, 20 
pail across, 20 
across field, 20 
field behind, 20 
behind house, 32, 20 
house seek, 20 
seek brook, 20 
brook still, 20 
still run, 20 
run both, 20 
both excuse, 20 
excuse go, 20 
go because, 20 
because autumn, 20 
autumn eve, 20 
eve wa, 20 
wa fair, 20 
fair though, 20 
though chill, 20 
chill because, 20 
because field, 20 
field brook, 20 
brook wood, 20 
wood run, 20 
run meet, 20 
meet moon, 20 
moon slowly, 20 
slowly dawn, 20 
dawn behind, 20 
behind tree, 20 
tree barren, 20 
barren bough, 20 
bough without, 20 
without leave, 20 
leave without, 20 
without bird, 20 
bird without, 20 
without breeze, 20 
breeze on, 20 
on within, 20 
within wood, 20 
wood pus, 20 
pus like, 20 
like some, 20 
some hide, 20 
hide us, 20 
us moon, 20 
moon ready, 20 
ready run, 20 
run hide, 20 
hide new, 20 
new laughter, 20 
laughter find, 20 
find us, 20, 21 
us soon, 20 
soon lay, 20 
lay stay, 20 
stay hand, 20 
hand listen, 20 
listen ere, 20 
ere dare, 20 
dare look, 20 
look hush, 20 
hush join, 20 
join make, 20 
make hear, 20 
hear know, 20 
know hear, 20 
hear brook, 20 
brook note, 20 
note single, 20 
single place, 20 
place slender, 20 
slender tinel, 20 
tinel fall, 20 
fall make, 20 
make drop, 20 
drop float, 20 
float pool, 20 
pool like, 20 
like pearl, 20 
pearl silver, 20 
silver blade, 20 
make yourself, 21 
yourself place, 21 
place apart, 21 
apart behind, 21 
behind light, 21 
light word, 21 
word tea, 21 
tea flout, 21 
flout oh, 21 
oh gait, 21 
gait heart, 21 
heart till, 21 
till someone, 21 
someone find, 21 
us really, 21 
really ti, 21 
ti piti, 21 
piti case, 21 
case require, 21 
require say, 21 
say end, 21 
end speak, 21 
speak later, 21 
later inspire, 21 
inspire understand, 21 
understand friend, 21 
friend babe, 21 
babe play, 21 
play hide, 21 
hide seek, 21 
seek god, 21 
god afar, 21 
afar hide, 21 
hide well, 21 
well away, 21 
away must, 21 
must speak, 21 
speak tell, 21 
tell us, 21 
even brave, 22 
brave slay, 22 
slay shall, 22 
shall dissembl, 22 
dissembl surprise, 22 
surprise wake, 22 
wake find, 22 
find valor, 22 
valor reign, 22 
reign even, 22 
even earth, 22 
earth parade, 22 
parade seek, 22 
seek without, 22 
without sword, 22 
sword wide, 22 
wide field, 22 
field asphodel, 22 
asphodel fore, 22 
fore er, 22 
er find, 22 
find utmost, 22 
utmost reward, 22 
reward dare, 22 
dare still, 22 
still dare, 22 
dare light, 22 
light heaven, 22 
heaven fall, 22 
fall whole, 22 
whole white, 22 
white shatter, 22 
shatter dye, 22 
dye light, 22 
light ever, 22 
ever more, 22 
more light, 22 
light hill, 22 
hill verdure, 22 
verdure pasteur, 22 
pasteur wise, 22 
wise angel, 22 
angel host, 22 
host fresh, 22 
fresh go, 22 
go seek, 22 
seek laughter, 22 
laughter brave, 22 
brave ó, 22 
ó bind, 22 
bind hush, 22 
hush snow, 22 
snow far, 22 
far distant, 22 
distant break, 22 
break wave, 22 
wave cliff, 22 
cliff top, 22 
top proclaim, 22 
proclaim gather, 22 
gather soul, 22 
soul birth, 22 
birth trial, 22 
trial exist, 22 
exist name, 22 
name obscure, 22 
obscure upon, 22 
upon earth, 22 
earth plant, 22 
plant spirit, 22 
spirit troop, 22 
troop stream, 22 
stream cross, 22 
cross counter, 22 
counter stream, 22 
stream give, 22 
give ear, 22 
ear sweet, 22 
sweet cry, 22 
cry suggest, 22 
suggest dream, 22 
dream leiter, 22 
leiter turn, 22 
turn view, 22 
view on, 22 
on sacrifice, 22 
sacrifice good, 22 
good discern, 22 
discern gladly, 22 
gladly give, 22 
give parade, 22 
parade white, 22 
white swimmer, 22 
swimmer contour, 22 
contour roll, 22 
roll toward, 22 
toward throne, 22 
throne wit, 22 
wit speed, 22 
speed devote, 22 
devote soul, 22 
soul god, 22 
god make, 22 
make hi, 22, 23 
hi respect, 22 
respect care, 22 
care none, 22 
none take, 22 
take first, 22 
first hear, 22 
hear life, 22 
life read, 22 
read open, 22 
open eastward, 22 
eastward good, 22 
good ill, 22 
ill beyond, 22 
beyond shadow, 22 
shadow doubt, 22 
doubt very, 22 
very beauty, 22 
beauty god, 22 
god limb, 22 
limb tenderly, 22 
tenderly life, 22 
life little, 22 
little dream, 22 
dream naught, 22 
naught extent, 22 
extent dim, 22 
dim set, 22 
set thing, 22 
thing supreme, 22 
supreme want, 22 
want press, 22 
press spirit, 22 
spirit stand, 22 
stand simple, 22 
simple forth, 22 
forth heroic, 22 
heroic naked, 22 
naked uttermost, 22 
uttermost earth, 22 
earth tale, 22 
tale earth, 22 
earth honor, 22 
honor thing, 22 
thing sound, 22 
sound nobler, 22 
nobler death, 22 
death sun, 22 
sun mind, 22 
mind whirl, 22 
whirl heart, 22 
heart sing, 22 
sing shout, 22 
shout greet, 22 
greet dare, 22 
dare one, 22 
one away, 22 
away god, 22 
god speak, 22 
speak end, 22 
end one, 22 
one thought, 22 
thought agony, 22 
agony strife, 22 
strife brave, 22 
brave would, 22 
would friend, 22 
friend memory, 22 
memory choose, 22 
choose life, 22 
life pure, 22 
pure fate, 22 
fate go, 22 
go admit, 22 
